"id";"age";"sexe";"nivetud";"poids";"occup";"qualif";"freres.soeurs";"clso";"relig";"trav.imp";"trav.satisf";"hard.rock";"lecture.bd";"peche.chasse";"cuisine";"bricol";"cinema";"sport";"heures.tv"
532;53;"Homme";"Derniere annee d'etudes primaires";1239,400425;"Chomeur";"Ouvrier qualifie";7;"Non";"Appartenance sans pratique";;;"Non";"Non";"Oui";"Non";"Oui";"Non";"Non";0,3
536;30;"Femme";"A arrete ses etudes, avant la derniere annee d'etudes primaires";7151,0334289;"Exerce une profession";"Employe";4;"Non";"Ni croyance ni appartenance";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";0
537;38;"Homme";"Enseignement technique ou professionnel court";1908,4947047;"Exerce une profession";"Ouvrier specialise";8;"Oui";"Appartenance sans pratique";"Peu important";"Insatisfaction";"Non";"Non";"Non";"Non";"Non";"Non";"Non";0,3
538;59;"Homme";"Enseignement superieur y compris technique superieur";960,90261902;"Exerce une profession";"Cadre";7;"Non";"Appartenance sans pratique";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Oui";"Non";"Oui";5
539;30;"Femme";"Enseignement superieur y compris technique superieur";3329,3970447;"Exerce une profession";"Profession intermediaire";1;"Oui";"Ni croyance ni appartenance";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";1
542;55;"Femme";"Enseignement technique ou professionnel court";1536,3285942;"Exerce une profession";"Employe";4;"Oui";"Pratiquant occasionnel";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";1
544;22;"Femme";"Enseignement technique ou professionnel court";13480,678223;"Exerce une profession";"Employe";1;"Non";"Ni croyance ni appartenance";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Non";"Non";2
549;41;"Homme";"Enseignement superieur y compris technique superieur";2833,7222417;"Exerce une profession";"Cadre";2;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Oui";"Oui";2
550;77;"Homme";"Derniere annee d'etudes primaires";10309,642502;"Retraite";"Ouvrier qualifie";1;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";4
551;84;"Femme";"Derniere annee d'etudes primaires";3210,7442984;"Retraite";"Ouvrier qualifie";1;"Ne sait pas";"Ni croyance ni appartenance";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";2
552;60;"Homme";"Enseignement superieur y compris technique superieur";5699,7592433;"Exerce une profession";"Cadre";4;"Oui";"Pratiquant regulier";"Aussi important que le reste";"Equilibre";"Non";"Non";"Oui";"Non";"Non";"Oui";"Oui";0,1
553;38;"Femme";"Enseignement technique ou professionnel court";4233,3703687;"Exerce une profession";"Employe";4;"Oui";"Pratiquant occasionnel";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Non";"Oui";"Oui";2
555;39;"Homme";"Enseignement technique ou professionnel long";19493,500091;"Exerce une profession";"Employe";3;"Oui";"Pratiquant regulier";"Aussi important que le reste";"Insatisfaction";"Non";"Non";"Oui";"Oui";"Non";"Oui";"Non";2
557;46;"Homme";"Enseignement superieur y compris technique superieur";1081,5997431;"Chomeur";;15;"Oui";"Rejet";;;"Non";"Non";"Non";"Oui";"Non";"Non";"Non";2
559;24;"Homme";"Enseignement superieur y compris technique superieur";2968,6762898;"Chomeur";"Ouvrier specialise";5;"Oui";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";3
561;63;"Homme";"Enseignement technique ou professionnel court";1812,0856313;"Retraite";"Ouvrier qualifie";3;"Non";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Oui";"Oui";"Non";"Non";4
562;37;"Femme";"1er cycle";15027,029085;"Au foyer";"Employe";4;"Non";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";2
563;59;"Homme";"Enseignement technique ou professionnel court";1645,5535103;"Retraite";"Profession intermediaire";2;"Non";"Appartenance sans pratique";;;"Non";"Non";"Oui";"Non";"Oui";"Non";"Non";0,9
565;28;"Femme";"1er cycle";15219,683509;"Au foyer";"Ouvrier specialise";7;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";0
568;54;"Femme";"Derniere annee d'etudes primaires";1546,2908593;"Exerce une profession";"Ouvrier qualifie";2;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Non";"Non";"Non";0
569;54;"Homme";"Enseignement superieur y compris technique superieur";4004,7022605;"Exerce une profession";"Employe";5;"Non";"Ni croyance ni appartenance";"Peu important";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Oui";"Oui";2
570;80;"Femme";"2eme cycle";7624,3122903;"Retraite";"Cadre";1;"Non";"Ni croyance ni appartenance";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";2
573;66;"Homme";"Derniere annee d'etudes primaires";16353,258454;"Retire des affaires";;0;"Oui";"Rejet";;;"Non";"Non";"Non";"Non";"Oui";"Non";"Non";2
574;31;"Femme";"2eme cycle";11906,474171;"Exerce une profession";"Employe";3;"Non";"Appartenance sans pratique";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";1
575;50;"Homme";"Enseignement technique ou professionnel long";2438,2638831;"Exerce une profession";"Cadre";6;"Non";"Ni croyance ni appartenance";"Aussi important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Oui";"Oui";0
578;19;"Femme";"1er cycle";8654,3866901;"Exerce une profession";;0;"Non";"Ni croyance ni appartenance";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Non";"Non";"Non";6
580;60;"Femme";"1er cycle";885,44705264;"Retraite";"Employe";13;"Non";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";3
583;30;"Femme";"Enseignement superieur y compris technique superieur";6310,4451832;"Exerce une profession";"Employe";2;"Oui";"Ni croyance ni appartenance";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Non";"Oui";"Non";4
585;48;"Femme";"Enseignement technique ou professionnel court";1116,0308892;"Exerce une profession";"Employe";7;"Non";"Appartenance sans pratique";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Non";"Non";"Non";1
588;73;"Femme";"Derniere annee d'etudes primaires";5843,3334523;"Retraite";"Ouvrier specialise";7;"Non";"NSP ou NVPR";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";6
589;48;"Femme";"2eme cycle";1480,3559356;"Exerce une profession";"Employe";9;"Non";"Pratiquant regulier";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Non";"Non";"Oui";0,4
591;33;"Homme";"Enseignement technique ou professionnel court";3409,5971858;"Exerce une profession";"Technicien";6;"Non";"Appartenance sans pratique";"Aussi important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Non";"Non";3
592;63;"Homme";"1er cycle";9867,0342353;"Retraite";"Profession intermediaire";6;"Oui";"Pratiquant regulier";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";3
593;39;"Femme";"2eme cycle";905,82964161;"Au foyer";"Employe";9;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Oui";"Non";"Non";"Non";3
594;31;"Femme";"Enseignement superieur y compris technique superieur";6000,9581106;"Exerce une profession";"Profession intermediaire";0;"Oui";"Ni croyance ni appartenance";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";0,1
596;32;"Homme";"Enseignement superieur y compris technique superieur";7024,9794235;"Exerce une profession";"Cadre";6;"Non";"Pratiquant regulier";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";0,1
603;50;"Homme";"Enseignement superieur y compris technique superieur";358,18111221;"Exerce une profession";"Employe";3;"Oui";"Pratiquant regulier";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";0,3
605;25;"Homme";"Enseignement technique ou professionnel court";2969,2821419;"Exerce une profession";"Ouvrier specialise";2;"Oui";"Ni croyance ni appartenance";"Moins important que le reste";"Insatisfaction";"Non";"Non";"Oui";"Non";"Oui";"Oui";"Non";0,9
606;38;"Femme";"Enseignement technique ou professionnel long";6308,1447906;"Exerce une profession";"Technicien";6;"Non";"Appartenance sans pratique";"Le plus important";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Non";"Non";1
607;23;"Femme";"Enseignement superieur y compris technique superieur";2905,2727876;"Exerce une profession";"Cadre";2;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Non";"Oui";"Oui";0,4
608;38;"Homme";"N'a jamais fait d'etudes";1537,2845531;"Exerce une profession";"Ouvrier specialise";3;"Non";"Pratiquant regulier";"Aussi important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Non";"Non";"Non";1
609;48;"Homme";"Derniere annee d'etudes primaires";1624,3283337;"Exerce une profession";"Ouvrier specialise";4;"Non";"Ni croyance ni appartenance";"Aussi important que le reste";"Equilibre";"Non";"Non";"Oui";"Non";"Non";"Non";"Non";2,9
610;66;"Homme";"Enseignement superieur y compris technique superieur";13590,639827;"Retire des affaires";"Cadre";2;"Oui";"Pratiquant regulier";;;"Non";"Non";"Non";"Non";"Oui";"Non";"Oui";3
612;56;"Femme";"Enseignement technique ou professionnel long";6408,4292661;"Exerce une profession";"Employe";3;"Oui";"Ni croyance ni appartenance";"Aussi important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";0,6
616;49;"Homme";"Enseignement superieur y compris technique superieur";1875,2214487;"Exerce une profession";"Cadre";3;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";3
617;74;"Homme";"Derniere annee d'etudes primaires";1662,2972175;"Retraite";;1;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Oui";"Oui";"Oui";3
619;62;"Femme";"2eme cycle";6696,9710799;"Retraite";"Employe";3;"Non";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Oui";"Non";"Non";"Oui";1
623;57;"Femme";"N'a jamais fait d'etudes";2379,1682169;"Exerce une profession";"Employe";7;"Non";"Appartenance sans pratique";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Oui";"Non";"Non";2
625;63;"Homme";"A arrete ses etudes, avant la derniere annee d'etudes primaires";1866,5804789;"Retraite";"Ouvrier specialise";5;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Oui";"Non";"Non";6
626;40;"Femme";"Enseignement technique ou professionnel court";1247,685404;"Autre inactif";"Employe";1;"Non";"Ni croyance ni appartenance";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";2
628;61;"Homme";;6788,9527677;"Retraite";"Ouvrier qualifie";8;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Oui";"Non";"Oui";"Non";"Oui";2
629;39;"Femme";"Enseignement superieur y compris technique superieur";3550,3096999;"Exerce une profession";"Employe";1;"Non";"Ni croyance ni appartenance";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";1
630;29;"Femme";"Enseignement superieur y compris technique superieur";5841,6610552;"Chomeur";"Profession intermediaire";10;"Non";"Pratiquant regulier";;;"Non";"Non";"Non";"Non";"Non";"Oui";"Non";4
631;53;"Homme";"Enseignement technique ou professionnel court";5827,0129546;"Exerce une profession";"Ouvrier qualifie";2;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Insatisfaction";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";0,3
636;45;"Femme";"1er cycle";1018,1312847;"Autre inactif";"Ouvrier specialise";8;"Non";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Oui";"Non";"Non";"Non";3
641;74;"Femme";"N'a jamais fait d'etudes";3316,8949296;"Retraite";"Ouvrier specialise";9;"Non";"Pratiquant regulier";;;"Non";"Non";"Non";"Oui";"Non";"Non";"Non";3
645;72;"Femme";"Derniere annee d'etudes primaires";6856,1509849;"Au foyer";;9;"Non";"Rejet";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";2
648;51;"Homme";"Enseignement technique ou professionnel long";13115,079454;"Exerce une profession";"Technicien";3;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Insatisfaction";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";0,3
649;61;"Femme";"Derniere annee d'etudes primaires";9409,9709002;"Retire des affaires";;1;"Non";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Oui";"Oui";"Non";"Non";2
650;37;"Homme";"Enseignement technique ou professionnel court";2837,3656063;"Exerce une profession";"Profession intermediaire";1;"Oui";"Ni croyance ni appartenance";"Aussi important que le reste";"Equilibre";"Non";"Non";"Oui";"Oui";"Oui";"Oui";"Oui";2
652;39;"Homme";"Enseignement technique ou professionnel court";1414,53791;"Exerce une profession";"Ouvrier qualifie";5;"Oui";"Pratiquant occasionnel";"Aussi important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";0,3
653;50;"Femme";"1er cycle";1285,5456705;"Exerce une profession";;6;"Non";"Pratiquant regulier";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Non";"Non";0
654;56;"Femme";"Derniere annee d'etudes primaires";6368,4797876;"Au foyer";"Ouvrier specialise";6;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Oui";"Non";"Non";"Non";2
655;66;"Femme";"Derniere annee d'etudes primaires";4165,5226677;"Retraite";"Employe";9;"Oui";"Pratiquant regulier";;;"Non";"Non";"Non";"Non";"Oui";"Non";"Non";3
659;78;"Homme";"1er cycle";5820,3418861;"Retraite";"Profession intermediaire";3;"Oui";"Pratiquant occasionnel";;;"Non";"Non";"Oui";"Non";"Oui";"Non";"Oui";3
660;25;"Femme";;3223,3031981;"Exerce une profession";"Cadre";1;"Oui";"Pratiquant occasionnel";"Aussi important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Non";"Oui";"Oui";0,4
661;69;"Homme";"Enseignement technique ou professionnel court";4367,8095511;"Retraite";"Profession intermediaire";3;"Non";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Non";"Oui";"Oui";"Oui";2
662;30;"Homme";"1er cycle";17349,288717;"Exerce une profession";"Ouvrier qualifie";4;"Non";"Ni croyance ni appartenance";"Aussi important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";0
669;63;"Homme";"1er cycle";2474,5644715;"Retraite";"Employe";0;"Non";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";2
672;31;"Femme";"Enseignement superieur y compris technique superieur";14758,810708;"Exerce une profession";"Cadre";1;"Non";"Appartenance sans pratique";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";2
673;37;"Femme";"Enseignement superieur y compris technique superieur";1942,1896715;"Au foyer";"Cadre";3;"Non";"Ni croyance ni appartenance";;;"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";0,4
674;33;"Femme";"1er cycle";9310,6356344;"Exerce une profession";"Ouvrier specialise";3;"Oui";"Ni croyance ni appartenance";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Oui";"Non";"Non";0,3
675;59;"Homme";"Derniere annee d'etudes primaires";1821,0041688;"Retraite";"Ouvrier qualifie";1;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Oui";"Non";"Non";1,4
676;49;"Femme";"2eme cycle";4993,0531691;"Exerce une profession";"Employe";4;"Non";"Rejet";"Aussi important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Non";0
678;56;"Femme";"Enseignement technique ou professionnel court";825,85450082;"Au foyer";"Autre";10;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";2
679;27;"Homme";"2eme cycle";7424,2064897;"Exerce une profession";"Employe";2;"Non";"NSP ou NVPR";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";3
680;82;"Homme";"Derniere annee d'etudes primaires";3873,8004131;"Retraite";"Technicien";3;"Oui";"Ni croyance ni appartenance";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";2
683;43;"Homme";"Enseignement superieur y compris technique superieur";6449,5188853;"Exerce une profession";"Profession intermediaire";1;"Oui";"Pratiquant occasionnel";"Aussi important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";1
684;77;"Homme";"Derniere annee d'etudes primaires";2318,5357341;"Retraite";"Ouvrier qualifie";2;"Oui";"Ni croyance ni appartenance";;;"Non";"Non";"Non";"Oui";"Oui";"Non";"Non";7
686;67;"Homme";"Derniere annee d'etudes primaires";9552,6009155;"Retraite";"Ouvrier specialise";4;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Oui";"Non";"Non";0
687;71;"Homme";"Derniere annee d'etudes primaires";9327,7383084;"Retraite";"Ouvrier qualifie";5;"Oui";"Pratiquant regulier";;;"Non";"Non";"Non";"Non";"Oui";"Non";"Non";5
691;64;"Homme";"Enseignement superieur y compris technique superieur";5934,8724461;"Retraite";"Cadre";2;"Oui";"Pratiquant regulier";;;"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";0,7
692;58;"Femme";"Enseignement superieur y compris technique superieur";6715,6599039;"Exerce une profession";"Employe";0;"Oui";"Pratiquant occasionnel";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Non";3
694;51;"Homme";"Enseignement technique ou professionnel court";6075,3324524;"Exerce une profession";"Ouvrier qualifie";3;"Oui";"Ni croyance ni appartenance";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Non";"Oui";0
696;28;"Femme";"2eme cycle";10333,632783;"Au foyer";"Employe";4;"Non";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Oui";"Oui";"Oui";"Non";2
698;39;"Homme";"Enseignement technique ou professionnel court";2063,8603659;"Exerce une profession";;3;"Non";"Appartenance sans pratique";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";0
700;55;"Homme";"2eme cycle";5933,3530989;"Exerce une profession";"Cadre";4;"Oui";"Ni croyance ni appartenance";"Aussi important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Non";0,1
701;65;"Homme";"Enseignement technique ou professionnel long";9046,5339839;"Retraite";"Cadre";1;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Non";"Oui";"Oui";"Non";"Oui";4
702;77;"Femme";"N'a jamais fait d'etudes";2564,2120027;"Retraite";"Ouvrier specialise";5;"Non";"Pratiquant regulier";;;"Non";"Non";"Non";"Oui";"Non";"Non";"Non";2
703;24;"Homme";"Enseignement superieur y compris technique superieur";3840,48642;"Exerce une profession";"Technicien";2;"Non";"Appartenance sans pratique";"Aussi important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";1
706;67;"Femme";"Derniere annee d'etudes primaires";1280,2482456;"Retraite";"Employe";6;"Oui";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Oui";"Non";"Non";"Oui";0
711;29;"Femme";"Enseignement technique ou professionnel court";320,58074741;"Exerce une profession";"Employe";8;"Non";"Ni croyance ni appartenance";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Non";"Non";3
713;52;"Homme";"Enseignement technique ou professionnel court";1658,8302063;"Exerce une profession";"Employe";7;"Non";"Appartenance sans pratique";"Moins important que le reste";"Insatisfaction";"Non";"Non";"Oui";"Non";"Oui";"Non";"Oui";1
715;38;"Homme";"Enseignement superieur y compris technique superieur";5581,6937123;"Exerce une profession";"Cadre";7;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";2
716;58;"Femme";"Enseignement technique ou professionnel court";1009,8961422;"Exerce une profession";"Profession intermediaire";5;"Non";"Ni croyance ni appartenance";"Moins important que le reste";"Insatisfaction";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";1
718;40;"Femme";"2eme cycle";5458,1598053;"Exerce une profession";"Profession intermediaire";1;"Oui";"Ni croyance ni appartenance";"Moins important que le reste";"Insatisfaction";"Non";"Non";"Non";"Oui";"Oui";"Non";"Oui";3
722;28;"Femme";"Enseignement superieur y compris technique superieur";7147,2826381;"Exerce une profession";"Employe";2;"Non";"Ni croyance ni appartenance";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";0
723;59;"Homme";"Enseignement superieur y compris technique superieur";772,090289;"Exerce une profession";"Cadre";2;"Oui";"Appartenance sans pratique";"Aussi important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Non";"Oui";1
724;35;"Homme";"Enseignement technique ou professionnel court";1334,9734152;"Exerce une profession";"Ouvrier qualifie";5;"Oui";"Pratiquant occasionnel";"Aussi important que le reste";"Insatisfaction";"Non";"Non";"Non";"Non";"Oui";"Non";"Oui";1
727;39;"Femme";"Enseignement technique ou professionnel court";1008,9267451;"Chomeur";"Employe";4;"Oui";"Pratiquant regulier";;;"Non";"Non";"Non";"Oui";"Non";"Non";"Non";0
728;41;"Femme";"2eme cycle";5500,6264549;"Exerce une profession";"Ouvrier specialise";4;"Oui";"Ni croyance ni appartenance";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Non";"Oui";3
730;45;"Homme";"Derniere annee d'etudes primaires";3421,9597175;"Exerce une profession";"Ouvrier qualifie";6;"Non";"Pratiquant occasionnel";"Moins important que le reste";"Satisfaction";"Non";"Non";"Oui";"Oui";"Non";"Non";"Non";0
732;45;"Femme";"1er cycle";2381,2570604;"Exerce une profession";"Employe";3;"Oui";"Appartenance sans pratique";"Peu important";"Satisfaction";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";0
735;47;"Femme";"2eme cycle";1869,6737907;"Exerce une profession";"Autre";4;"Oui";"Appartenance sans pratique";"Aussi important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Oui";"Non";"Non";1
737;41;"Femme";"A arrete ses etudes, avant la derniere annee d'etudes primaires";1226,3575752;"Exerce une profession";"Employe";9;"Non";"Pratiquant regulier";"Aussi important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Non";"Non";"Non";5
739;35;"Homme";"Enseignement superieur y compris technique superieur";7523,9848022;"Exerce une profession";"Profession intermediaire";2;"Oui";"Ni croyance ni appartenance";"Aussi important que le reste";"Equilibre";"Non";"Non";"Oui";"Oui";"Oui";"Oui";"Oui";0
744;21;"Homme";"Enseignement technique ou professionnel long";10239,322555;"Etudiant, eleve";;1;"Oui";"Rejet";;;"Non";"Non";"Non";"Non";"Non";"Oui";"Non";0
745;48;"Homme";"Derniere annee d'etudes primaires";1025,782507;"Exerce une profession";"Ouvrier specialise";9;"Non";"Pratiquant occasionnel";"Aussi important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Non";"Non";"Oui";1
746;49;"Femme";"Enseignement technique ou professionnel court";3687,9781112;"Au foyer";"Cadre";3;"Oui";"Pratiquant regulier";;;"Non";"Non";"Oui";"Oui";"Non";"Oui";"Oui";0,3
747;59;"Homme";"Enseignement superieur y compris technique superieur";883,34941368;"Exerce une profession";"Cadre";3;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";1,1
748;31;"Homme";"Enseignement technique ou professionnel court";9050,2452071;"Exerce une profession";"Ouvrier qualifie";1;"Non";"Appartenance sans pratique";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";5
749;77;"Femme";"A arrete ses etudes, avant la derniere annee d'etudes primaires";3200,6720286;"Autre inactif";"Ouvrier qualifie";3;"Oui";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Oui";"Non";"Non";"Non";4
752;28;"Homme";"1er cycle";16570,1207;"Exerce une profession";"Ouvrier specialise";4;"Oui";"Ni croyance ni appartenance";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Non";"Oui";"Non";3
753;47;"Femme";"2eme cycle";4269,1606534;"Exerce une profession";"Employe";4;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";3
758;47;"Homme";"Enseignement technique ou professionnel court";2485,524358;"Exerce une profession";;1;"Non";"Pratiquant occasionnel";"Aussi important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Non";"Oui";"Non";1
760;61;"Femme";"Derniere annee d'etudes primaires";8093,4212939;"Retire des affaires";;3;"Oui";"Pratiquant regulier";;;"Non";"Non";"Non";"Non";"Oui";"Oui";"Oui";3
764;26;"Femme";"Enseignement superieur y compris technique superieur";9990,3951909;"Au foyer";;7;"Oui";"Ni croyance ni appartenance";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";3
765;58;"Homme";"Enseignement technique ou professionnel court";7524,6041106;"Exerce une profession";"Technicien";4;"Oui";"Pratiquant regulier";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";2
767;30;"Femme";"Derniere annee d'etudes primaires";18709,692679;"Au foyer";"Employe";2;"Non";"Ni croyance ni appartenance";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";1
769;36;"Femme";"Enseignement superieur y compris technique superieur";11715,025688;"Exerce une profession";;8;"Non";"Pratiquant occasionnel";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Non";"Oui";"Oui";0
770;44;"Homme";"Enseignement technique ou professionnel court";6040,1717299;"Exerce une profession";"Ouvrier qualifie";4;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";3
771;22;"Femme";;7128,3627375;"Etudiant, eleve";;1;"Non";"Rejet";;;"Non";"Non";"Non";"Non";"Non";"Oui";"Non";2
774;63;"Femme";"1er cycle";3777,2568189;"Retraite";"Employe";3;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";2
780;36;"Femme";;2887,9567332;"Exerce une profession";"Employe";9;"Oui";"Appartenance sans pratique";"Aussi important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Non";"Oui";0
781;64;"Femme";"Derniere annee d'etudes primaires";3242,0293715;"Retraite";"Employe";3;"Oui";"Ni croyance ni appartenance";;;"Non";"Non";"Non";"Oui";"Non";"Oui";"Non";5
785;45;"Homme";"Enseignement technique ou professionnel court";12379,093737;"Exerce une profession";;2;"Non";"Pratiquant occasionnel";"Aussi important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";2
788;45;"Homme";"Enseignement superieur y compris technique superieur";10393,375033;"Exerce une profession";"Profession intermediaire";5;"Oui";"Pratiquant occasionnel";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";2
791;52;"Femme";"N'a jamais fait d'etudes";2631,2174288;"Chomeur";"Ouvrier specialise";12;"Oui";"Pratiquant regulier";;;"Non";"Non";"Non";"Oui";"Non";"Oui";"Non";5
792;34;"Femme";"Enseignement technique ou professionnel court";4049,1448862;"Exerce une profession";"Employe";1;"Oui";"Pratiquant regulier";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";3
